Designator,Val,Package,"Mid X","Mid Y",Rotation,Layer
"BT1","Battery_Cell","BatteryHolder_Keystone_3000_1x12mm",121.000000,-84.500000,-90.000000,top
"C1","100nF","C_0603_1608Metric",140.000000,-79.800000,-90.000000,top
"C2","4.7u","C_0402_1005Metric_small_pads",147.595598,-84.730388,0.000000,top
"C3","4.7u","C_0402_1005Metric_small_pads",147.600257,-83.760167,0.000000,top
"C4","15pF","C_0603_1608Metric",143.025000,-103.500000,0.000000,top
"C5","15pF","C_0603_1608Metric",146.800000,-103.500000,0.000000,top
"C6","4.7u","C_0402_1005Metric",149.900000,-84.300000,-90.000000,top
"C7","100n","C_0402_1005Metric",137.500000,-90.600000,180.000000,top
"C8","4.7u","C_0402_1005Metric",146.200000,-97.900000,-90.000000,top
"C9","100n","C_0402_1005Metric",152.000000,-90.000000,0.000000,top
"C10","100n","C_0402_1005Metric",142.000000,-97.900000,-90.000000,top
"C11","100n","C_0402_1005Metric",142.400000,-83.980000,90.000000,top
"C12","100n","C_0402_1005Metric",152.000000,-94.600000,0.000000,top
"C13","100n","C_0402_1005Metric",152.000000,-87.000000,0.000000,top
"C14","100n","C_0402_1005Metric",144.800000,-83.900000,90.000000,top
"C15","100n","C_0402_1005Metric",137.500000,-88.600000,180.000000,top
"C16","100n","C_0402_1005Metric",143.800000,-97.900000,-90.000000,top
"C17","100n","C_0402_1005Metric",152.000000,-91.000000,0.000000,top
"C18","100nF","C_0603_1608Metric",148.550000,-72.400000,-90.000000,top
"C19","100n","C_0402_1005Metric",137.500000,-92.600000,180.000000,top
"C20","100nF","C_0603_1608Metric",158.800000,-105.000000,-90.000000,top
"C21","100nF","C_0603_1608Metric",158.900000,-109.900000,90.000000,top
"C22","100nF","C_0603_1608Metric",130.900000,-91.212500,0.000000,top
"C23","100nF","C_0603_1608Metric",125.200000,-97.500000,-90.000000,top
"C24","100nF","C_0603_1608Metric",123.700000,-67.700000,180.000000,top
"C25","1uF","C_0603_1608Metric",117.200000,-100.500000,0.000000,top
"C26","1uF","C_0603_1608Metric",121.000000,-100.550000,180.000000,top
"C27","4.3.pF","C_0603_1608Metric",116.700000,-67.700000,0.000000,top
"C28","4.3pF","C_0603_1608Metric",116.700000,-73.500000,180.000000,top
"D1","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",143.800000,-72.100000,180.000000,top
"D2","D_Schottky","D_SOD-123F",117.500000,-109.000000,180.000000,top
"D3","D_Schottky","D_SOD-123F",117.500000,-97.500000,180.000000,top
"D4","AOZ8809DI-05","TVS_AOZ8809DI-05",133.475000,-110.500000,90.000000,top
